ID,N_VICTIMAS,FECHA,AÑO,MES,DIA,HORA,HORA_ENTERA,TIPO_DE_CALLE,CALLE,COMUNA,COORDINADA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0036,1,2016/03/14,2016,3,14,0:15:00,0,CALLE,HERRERA,4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,M,36
2016-0037,1,2016/03/19,2016,3,19,11:00:00,11,AVENIDA,LAFUENTE AV.,7,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,M,20
2016-0038,1,2016/03/21,2016,3,21,8:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",8,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,29
2016-0039,1,2016/03/23,2016,3,23,1:50:00,1,AVENIDA,"MITRE, BARTOLOME",3,Point (105252.60308563 102264.96028996),-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,20
2016-0041,2,2016/03/29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,7,Point (100232.38564985 99530.25843190),-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,54
2016-0041,2,2016/03/29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,7,Point (100232.38564985 99530.25843190),-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,M,SD
2016-0043,1,2016/03/30,2016,3,30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,PEATON,F,56
2016-0044,1,2016/03/31,2016,3,31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",7,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,M,24
2016-0045,1,2016/04/11,2016,4,11,10:25:00,10,GRAL PAZ,"PAZ, GRAL. AV.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,MOTO-SD,MOTO,SD,CONDUCTOR,M,SD
2016-0047,1,2016/04/15,2016,4,15,5:30:00,5,CALLE,LIMA,1,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,41
2016-0048,1,2016/04/15,2016,4,15,17:40:00,17,AVENIDA,CORRIENTES AV.,15,Point (101440.29935254 104167.40204334),-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,SD
2016-0049,1,2016/04/17,2016,4,17,0:00:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,0,-58.37714647568196,-34.63657525428238,SD-SD,SD,SD,SD,SD,SD
2016-0050,1,2016/04/19,2016,4,19,9:50:00,9,AVENIDA,"GORDILLO, TIMOTEO",8,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,78
2016-0051,1,2016/04/20,2016,4,20,4:00:00,4,AVENIDA,"ALCORTA, AMANCIO AV.",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,36
2016-0052,1,2016/04/20,2016,4,20,20:00:00,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,0,0,0,MOTO-SD,MOTO,SD,SD,SD,SD
2016-0053,1,2016/04/22,2016,4,22,9:30:00,9,AVENIDA,TRIUNVIRATO AV.,12,Point (98073.80557770 105955.73972818),-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,38
2016-0054,1,2016/04/23,2016,4,23,21:00:00,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,M,30
2016-0055,1,2016/04/25,2016,4,25,20:30:00,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",14,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,M,79
2016-0056,1,2016/04/26,2016,4,26,4:45:00,4,AVENIDA,"CAMPOS, LUIS M. AV.",14,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,M,26
2016-0058,1,2016/05/04,2016,5,4,14:00:00,14,CALLE,LIMA,1,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,F,57
2016-0059,1,2016/05/08,2016,5,8,16:30:00,16,CALLE,CIUDADELA,1,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,37
2016-0064,1,2016/05/14,2016,5,14,18:11:00,18,AVENIDA,"JUSTO, JUAN B. AV.",10,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,20
2016-0065,1,2016/05/20,2016,5,20,14:40:00,14,AVENIDA,GAONA AV.,6,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,M,20
2016-0067,1,2016/05/21,2016,5,21,17:00:00,17,AVENIDA,"DE LA TORRE, LISANDRO",8,Point (98052.13008621 94912.60873025),-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,F,30
2016-0068,1,2016/05/22,2016,5,22,22:00:00,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",2,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,58
2016-0069,1,2016/05/23,2016,5,23,3:30:00,3,AVENIDA,ENTRE RIOS AV.,3,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,M,30
2016-0073,1,2016/06/11,2016,6,11,15:00:00,15,CALLE,"MAGARI?OS CERVANTES, A.",10,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,23
2016-0074,1,2016/06/12,2016,6,12,6:40:00,6,GRAL PAZ,"PAZ, GRAL. AV.",8,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,M,60
2016-0075,1,2016/06/12,2016,6,12,23:13:00,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,M,42
2016-0076,1,2016/06/13,2016,6,13,16:20:00,16,AVENIDA,SAN MARTIN AV.,15,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,53
2016-0077,1,2016/06/13,2016,6,13,21:52:00,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",1,Point (108532.37320501 102648.40418720),-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,SD
2016-0078,1,2016/06/13,2016,6,13,23:01:00,23,AVENIDA,BELGRANO AV.,3,Point (105354.74322032 101621.63182427),-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,M,30
2016-0079,1,2016/06/16,2016,6,16,17:13:00,17,AVENIDA,DEL LIBERTADOR AV.,13,Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,F,51
2016-0080,1,2016/06/18,2016,6,18,6:42:00,6,GRAL PAZ,"PAZ, GRAL. AV.",9,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,AUTO-SD,AUTO,SD,CONDUCTOR,M,60
2016-0081,1,2016/06/22,2016,6,22,7:42:00,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",12,Point (97805.54034401 107789.89169078),-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,40
2016-0082,1,2016/06/27,2016,6,27,18:24:00,18,AVENIDA,LA PLATA AV.,4,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,M,87
2016-0083,1,2016/06/28,2016,6,28,20:46:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,F,76
2016-0084,1,2016/06/29,2016,6,29,22:00:00,22,CALLE,"PELLEGRINI, CARLOS",1,Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,57
2016-0085,1,2016/06/29,2016,6,29,22:00:00,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",4,Point (103621.92252760 96885.28433165),-58.42378834,-34.65734100,MOTO-MOVIL,MOTO,OTRO,SD,M,SD
2016-0086,1,2016/06/30,2016,6,30,16:10:00,16,AVENIDA,OLIVERA AV.,10,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,75
2016-0087,1,2016/07/02,2016,7,3,0:10:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,Point (107762.62066736 100018.90176187),-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,M,23
